date,equity_lr,equity_bh
2025-10-22,1290734.0832656848,1265251.9893899206
2025-10-23,1298388.032007422,1272754.8313755211
2025-10-24,1308999.1882175577,1283156.4986737403
2025-10-27,1324442.3827747498,1298294.8086396365
2025-10-28,1327960.1066914066,1301743.0845017054
2025-10-29,1328597.9357532181,1302368.3213338386
2025-10-30,1313985.85179172,1288044.7139067831
2025-10-31,1318296.029997294,1292269.7991663509
2025-11-03,1320770.033630987,1294694.9602122018
2025-11-04,1305114.2293865245,1279348.2379689277
2025-11-05,1309637.0172793693,1283781.7355058736
2025-11-06,1295585.4497661293,1270007.5786282683
2025-11-07,1296861.1078897524,1271258.0522925353
2025-11-10,1317097.6844872243,1291095.1117847671
2025-11-11,1320112.8764157873,1294050.7768093976
2025-11-12,1320847.3462445398,1294770.7464948846
2025-11-13,1298929.2203022924,1273285.335354301
2025-11-14,1298716.6106150218,1273076.9230769232
2025-11-17,1286617.1865939929,1261216.3698370596
2025-11-18,1275812.748849975,1250625.2368321337
2025-11-19,1280741.4279639723,1255456.6123531642
2025-11-20,1261219.9930418648,1236320.5759757485
2025-11-21,1273783.2927442112,1248635.846911709
2025-11-24,1292531.6015307899,1267014.0204622964
2025-11-25,1304689.0100119833,1278931.4134141721
2025-11-26,1313695.9294908964,1287760.5153467222
2025-11-28,1320866.674397928,1294789.6930655553
2025-12-01,1314836.2905408018,1288878.363016294
2025-12-02,1317271.637867718,1291265.6309208034
2025-12-03,1321833.0820673392,1295737.0215990907
2025-12-04,1322799.4897367505,1296684.3501326262
2025-12-05,1325312.14967722,1299147.4043198184
2025-12-08,1321330.5500792454,1295244.4107616523
2025-12-09,1320190.1890293402,1294126.5630920804
2025-12-10,1328945.8425142064,1302709.3596059117
2025-12-11,1332038.3470563223,1305740.8109132247
2025-12-12,1317716.1853956473,1291701.4020462297
2025-12-15,1315725.3855966602,1289749.9052671469
2025-12-16,1312130.3490664503,1286225.843122395
2025-12-17,1297692.218485446,1272072.7548313756
2025-12-18,1307491.5922532761,1281678.666161425
2025-12-19,1315454.791449225,1289484.6532777569
2025-12-22,1323649.9284858326,1297517.9992421374
2025-12-23,1329699.640496347,1303448.275862069
2025-12-24,1334377.0536162974,1308033.3459643805
2025-12-26,1334241.7565425797,1307900.7199696857
2025-12-29,1329487.0308090765,1303239.8635846914
2025-12-30,1327863.4659244656,1301648.3516483519
2025-12-31,1318025.435849859,1292004.547176961
2026-01-02,1320441.455023387,1294372.8685107997
2026-01-05,1329235.7648150297,1302993.5581659721
2026-01-06,1337140.9795508136,1310742.705570292
2026-01-07,1332830.8013452396,1306517.620310724
2026-01-08,1332695.504271522,1306384.994316029
2026-01-09,1341509.1422165527,1315024.6305418722
